"FAMU Rattler Mentorship System",,,,,,,
"Risk Description",Category,Probability,Impact,Owner,"Response Strategy",Trigger,
"Scope creep expanding beyond MVP",Operational,"🔴 High","🔴 High","Project Manager","Strict scope control and approval process","New features added mid-development",
"Underestimating development time",Technical,"🔴 High","🔴 High","Project Manager","Break tasks into smaller milestones and track progress weekly","Missed deadlines",
"Low alumni participation",Organizational,"🟡 Medium","🔴 High","Team Lead","Simplify onboarding and promote micro-mentorship","Low sign-up rates",
"Poor user adoption by students",Organizational,"🟡 Medium","🔴 High","QA Lead","Conduct user testing and improve usability","Low usage during testing",
"Database design inefficiencies",Technical,"🟡 Medium","🔴 High",Developer,"Normalize data and test queries early","Slow query performance",
"Data security/privacy concerns",Technical,"🟡 Medium","🔴 High",Developer,"Implement authentication and secure data handling","Unauthorized access attempt",
"System performance issues under load",Technical,"🟢 Low","🟡 Medium",Developer,"Optimize queries and limit MVP scale","Slow response times",
"Limited testing participation",Operational,"🟡 Medium","🟡 Medium","QA Lead","Recruit test users early","Lack of feedback",
"Dependence on team availability",Organizational,"🟡 Medium","🔴 High","Project Manager","Schedule regular meetings and assign clear roles","Missed meetings",
"High alumni engagement exceeding expectations",Operational,"🟡 Medium","🔴 High","Project Manager","Expand pilot and document success for future scaling",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
